patent_id,claim_number,text,sequence,dependent,exemplary,subclass
10606737,3,"3. The method of claim 2 , wherein each of the plurality of executable execution parameters comprises at least one of a name of the one or more primitive executables for each of the plurality of steps of the plurality of test scripts, a plurality of input parameters, a plurality of output parameters, an estimated time of execution, an estimated usage of one or more resources, and a coverage of one or more components of the resource constrained device.",2,claim 2,0,A
10606737,4,"4. The method of claim 1 , further comprising: creating the plurality of test scripts corresponding to the plurality of test cases; and determining the plurality of script execution parameters for each of the plurality of test scripts corresponding to the plurality of test cases.",3,claim 1,0,A
10606737,5,"5. The method of claim 1 , further comprising at least one of: determining a dependency of each of the plurality of steps of the plurality of test scripts with respect to each of a plurality of preceding steps of the plurality of test scripts; and determining a batch execution of the one or more primitive executables for each of the plurality of steps of the plurality of test scripts.",4,claim 1,0,A
10606737,6,"6. The method of claim 1 , wherein determining the candidate test case from the plurality of test cases further comprises sequencing the candidate test case based on a highest test score.",5,claim 1,0,A
10606737,7,"7. The method of claim 1 , wherein transmitting the one or more primitive executables for each of the plurality of steps of the plurality of test scripts corresponding to the candidate test case from the plurality of test cases to the resource constrained device for execution comprises: determining an availability of each of the one or more resources in the resource constrained device; and transmitting the one or more primitive executables for each of the plurality of steps of the plurality of test scripts corresponding to the candidate test case from the plurality of test cases to the resource constrained device based on the availability of each of the one or more resources in the resource constrained device.",6,claim 1,0,A
10606737,8,"8. The method of claim 7 , wherein the availability of each of the one or more resources in the resource constrained device is determined at a periodic interval or at run time.",7,claim 7,0,A
10606737,9,"9. A system for testing a resource constrained device, the system comprising: at least one processor; and a non-transitory computer-readable storage medium storing instructions that, when executed by the at least one processor, cause the at least one processor to perform operations comprising: determining, via a testing engine, a plurality of test cases for testing the resource constrained device; accessing, via the testing engine, a plurality of test scripts corresponding to the plurality of test cases; determining, via the testing engine, a set of mutually independent primitive executables for the plurality of test scripts corresponding to the plurality of test cases, by: determining a plurality of steps of the plurality of test scripts; and determining one or more primitive executables for each of the plurality of steps of the plurality of test scripts, wherein the one or more primitive executables for each of the plurality of steps of the plurality of test scripts correspond to one or more atomic operations of the resource constrained device; determining, via the testing engine, a candidate test case from the plurality of test cases, wherein the candidate test case from the plurality of test cases is determined based on: computing a test score for each of the plurality of test cases based on a plurality of script execution parameters for a corresponding test script, wherein each of the plurality of script execution parameters for the corresponding test script comprises at least one of an estimated time of execution, an estimated usage of one or more resources, and a coverage of one or more components of the resource constrained device; and selecting the candidate test case from the plurality of test cases based on the computed test score for each of the plurality of test cases; transmitting, via the testing engine, the one or more primitive executables for each of the plurality of steps of the plurality of test scripts corresponding to the candidate test case from the plurality of test cases to the resource constrained device for execution; and receiving, via the testing engine, a result corresponding to the execution of the one or more primitive executables for each of the plurality of steps of the plurality of test scripts corresponding to the candidate test case from the plurality of test cases.",8,,0,A
10606737,10,"10. The system of claim 9 , wherein the operations further comprise: creating the one or more primitive executables for each of the plurality of steps of the plurality of test scripts; and determining a plurality of executable execution parameters for each of the one or more primitive executables for each of the plurality of steps of the plurality of test scripts, wherein each of the plurality of executable execution parameters comprises at least one of a name of the one or more primitive executables for each of the plurality of steps of the plurality of test scripts, a plurality of input parameters, a plurality of output parameters, an estimated time of execution, an estimated usage of one or more resources, and a coverage of one or more components of the resource constrained device.",9,claim 9,0,A
10606737,11,"11. The system of claim 9 , wherein the operations further comprise: creating the plurality of test scripts corresponding to the plurality of test cases; and determining the plurality of script execution parameters for each of the plurality of test scripts corresponding to the plurality of test cases.",10,claim 9,0,A
10606737,12,"12. The system of claim 11 , wherein the operations further comprise at least one of: determining a dependency of each of the plurality of steps of the plurality of test scripts with respect to each of a plurality of preceding steps of the plurality of test scripts; and determining a batch execution of the one or more primitive executables for each of the plurality of steps of the plurality of test scripts.",11,claim 11,0,A
10606737,13,"13. The system of claim 9 , wherein determining the candidate test case from the plurality of test cases further comprises sequencing the candidate test case based on a highest test score.",12,claim 9,0,A
10606737,14,"14. The system of claim 9 , wherein transmitting the one or more primitive executables for each of the plurality of steps of the plurality of test scripts corresponding to the candidate test case from the plurality of test cases to the resource constrained device for execution comprises: determining an availability of each of the one or more resources in the resource constrained device; and transmitting the one or more primitive executables for each of the plurality of steps of the plurality of test scripts corresponding to the candidate test case from the plurality of test cases to the resource constrained device based on the availability of each of the one or more resources in the resource constrained device.",13,claim 9,0,A
10606737,15,"15. The system of claim 14 , wherein the availability of each of the one or more resources in the resource constrained device is determined at a periodic interval or at run time.",14,claim 14,0,A
10606737,16,"16. A non-transitory computer-readable storage medium having stored thereon, a set of computer-executable instructions for causing a computer comprising one or more processors to perform steps comprising: determining, via a testing engine, a plurality of test cases for testing a resource constrained device; accessing, via the testing engine, a plurality of test scripts corresponding to the plurality of test cases; determining, via the testing engine, a set of mutually independent primitive executables for the plurality of test scripts corresponding to the plurality of test cases, by: determining a plurality of steps of the plurality of test scripts; and determining one or more primitive executables for each of the plurality of steps of the plurality of test scripts, wherein the one or more primitive executables for each of the plurality of steps of the plurality of test scripts correspond to one or more atomic operations of the resource constrained device; determining, via the testing engine, a candidate test case from the plurality of test cases, wherein the candidate test case from the plurality of test cases is determined based on: computing a test score for each of the plurality of test cases based on a plurality of script execution parameters for a corresponding test script, wherein each of the plurality of script execution parameters for the corresponding test script comprises at least one of an estimated time of execution, an estimated usage of one or more resources, and a coverage of one or more components of the resource constrained device; and selecting the candidate test case from the plurality of test cases based on the computed test score for each of the plurality of test cases; transmitting, via the testing engine, the one or more primitive executables for each of the plurality of steps of the plurality of test scripts corresponding to the candidate test case from the plurality of test cases to the resource constrained device for execution; and receiving, via the testing engine, a result corresponding to the execution of the one or more primitive executables for each of the plurality of steps of the plurality of test scripts corresponding to the candidate test case from the plurality of test cases.",15,,0,A
10606738,1,"1. A method, comprising: receiving results from a network of nodes, by a submission node, the results created after execution of a test package by the network of nodes to perform a test associated with an application; and updating a blockchain with the results, by the submission node.",0,,1,A
10606738,2,"2. The method of claim 1 , further comprising: creating, by the submission node, a contract comprising test information used to perform the test; including the contract and a request in the test package, by the submission node; and providing the test package to the network of nodes, by the submission node.",1,claim 1,0,A
10606738,3,"3. The method of claim 2 , wherein the contract comprises one or more of a reward for performing the test, a number of test cycles, an amount of central processing unit utilization, an amount of memory utilization, and an amount of time.",2,claim 2,0,A
10606738,4,"4. The method of claim 1 , wherein the test package comprises an image container.",3,claim 1,0,A
10606738,5,"5. The method of claim 1 , wherein the submission node comprises a distributed peer proxy node server configured to distribute the test package to the network of nodes, and the network of nodes comprises a plurality of distributed peer proxy node client devices.",4,claim 1,0,A
10606738,6,"6. The method of claim 1 , further comprising: comparing the received results to known results associated with the application, by the submission node; and creating an alert, by the submission node, when the results are different from the known results.",5,claim 1,0,A
10606738,7,"7. The method of claim 1 , further comprising: broadcasting the results, by the submission node, to one or more client devices in the network.",6,claim 1,0,A
10606738,8,"8. An apparatus, comprising: a receiver configured to receive results from a network of nodes, the results created after execution of a test package by the network of nodes to perform a test associated with an application; and a processor configured to update a blockchain with the results.",7,,0,A
10606738,9,"9. The apparatus of claim 8 , wherein the processor is further configured to: create a contract comprising test information used to perform the test; include the contract and a request in the test package; and provide the test package to the network of nodes.",8,claim 8,0,A
10606738,10,"10. The apparatus of claim 9 , wherein the contract comprises one or more of a reward for performing the test, a number of test cycles, an amount of central processing unit utilization, an amount of memory utilization, and an amount of time.",9,claim 9,0,A
10606738,11,"11. The apparatus of claim 8 , wherein the test package comprises an image container.",10,claim 8,0,A
10606738,12,"12. The apparatus of claim 8 , wherein the apparatus comprises a distributed peer proxy node server configured to distribute the test package to the network of nodes, and the network of nodes comprises a plurality of distributed peer proxy node client devices.",11,claim 8,0,A
10606738,13,"13. The apparatus of claim 8 , wherein the processor is further configured to: compare the received results to known results associated with the application; and create an alert when the results are different from the known results.",12,claim 8,0,A
10606738,14,"14. The apparatus of claim 8 , further comprising: a transmitter configured to broadcast the results to one or more client devices in the network.",13,claim 8,0,A
10606738,15,"15. A non-transitory computer readable storage medium storing instructions that, when executed, cause a processor to perform: receiving results from a network of nodes, the results created after execution of a test package by the network of nodes to perform a test associated with an application; and updating a blockchain with the results.",14,,0,A
10606738,16,"16. The non-transitory computer readable storage medium of claim 15 , wherein the instructions are further configured to cause the processor to perform: creating a contract comprising test information used to perform the test; including the contract and a request in the test package; and providing the test package to the network of nodes.",15,claim 15,0,A
10606738,17,"17. The non-transitory computer readable storage medium of claim 16 , wherein the contract comprises one or more of a reward for performing the test, a number of test cycles, an amount of central processing unit utilization, an amount of memory utilization, and an amount of time.",16,claim 16,0,A
10606738,18,"18. The non-transitory computer readable storage medium of claim 15 , wherein the test package comprises an image container.",17,claim 15,0,A
10606738,19,"19. The non-transitory computer readable storage medium of claim 15 , wherein the test package is distributed by a distributed peer proxy node server, and the network of nodes comprises a plurality of distributed peer proxy node client devices.",18,claim 15,0,A
10606738,20,"20. The non-transitory computer readable storage medium of claim 15 , wherein the instructions are further configured to cause the processor to perform at least one of: comparing the received results to known results associated with the application; creating an alert when the results are different from the known results; and broadcasting the results to one or more client devices in the network.",19,claim 15,0,A
10606739,1,"1. A device, comprising: a memory; and one or more processors to: receive information identifying a development project; process the information identifying the development project to determine a set of scripts to assess program code of the development project, the set of scripts including a first script to detect an execution type of error, the set of scripts including a second script to detect a non-execution type of error; configure the set of scripts after determining the set of scripts; generate an artifact that includes one or more scripts of the set of scripts; communicate with a client device to monitor the development project and to periodically execute the artifact to perform a project assessment of the development project; receive, from the client device, information identifying results of the project assessment based on communicating with the client device to monitor the development project and to periodically execute the artifact, the results including information associated with detecting the execution type of error or information associated with detecting the non-execution type of error; and provide the information identifying the results.",0,,1,A
10606739,2,"2. The device of claim 1 , where the one or more processors are further to: execute a script, of the set of scripts, to determine whether a set of accessibility standards is satisfied by the development project; and communicate with the client device to provide an indication of whether the set of accessibility standards is satisfied by the development project.",1,claim 1,0,A
10606739,3,"3. The device of claim 1 , where the one or more processors, when configuring the set of scripts, are to: modify a script, of the set of scripts, based on the development project.",2,claim 1,0,A
10606739,4,"4. The device of claim 1 , where the one or more processors, when determining the set of scripts, are to: identify another development project; determine one or more scripts associated with the other development project; and select the one or more scripts associated with the other development project for the development project.",3,claim 1,0,A
10606739,5,"5. The device of claim 1 , where the one or more processors, when communicating with the client device to monitor the development project and to periodically execute the artifact, are to: provide, to the client device for execution, a test suite including the artifact.",4,claim 1,0,A
10606739,6,"6. The device of claim 1 , where the one or more processors, when providing the information identifying the results, are to: provide information identifying a certification relating to one or more requirements for the development project.",5,claim 1,0,A
10606739,7,"7. The device of claim 1 , where the one or more processors, when providing the information identifying the results, are to: provide information identifying a quality score associated with a set of developers working on the development project.",6,claim 1,0,A
10606739,8,"8. A method carried out with execution of memory-stored instructions coupled to a corresponding processor of one or more processing devices, comprising: determining, by a processing device, a set of scripts for a project assessment of program code of a development project; configuring, by the processing device, the set of scripts for execution to perform the project assessment of the program code of the development project based on determining the set of scripts, the set of scripts including: a first script to detect an execution type of error, and a second script to detect a non-execution type of error; generating, by the processing device, an artifact that includes one or more scripts of the set of scripts; monitoring, by the processing device, the development project; determining, by the processing device, to execute the one or more scripts to perform the project assessment of the program code of the development project based on monitoring the development project; communicating, by the processing device, with another device to monitor the development project and to periodically execute the artifact that includes the one or more scripts to perform the project assessment of the program code of the development project; receiving, by the processing device and from the other device, information identifying a set of results of the project assessment of the program code of the development project based on the other device executing the artifact that includes the one or more scripts; generating, by the processing device, a set of recommendations relating to the development project based on the set of results of the project assessment of the program code of the development project; and providing, by the processing device, information associated with the set of recommendations after generating the set of recommendations, the information, associated with the set of recommendations, identifying a project assessment result including information associated with detecting an execution type of error or information associated with detecting a non-execution type of error.",7,,0,A
10606739,9,"9. The method of claim 8 , where providing the information associated with the set of recommendations comprises: providing, to the other device, the information associated with the set of recommendations to cause the set of recommendations to be implemented for the development project.",8,claim 8,0,A
10606739,10,"10. The method of claim 8 , where generating the set of recommendations comprises: generating a recommendation relating to at least one of: program code quality, data security, data retention, data protection and risk coverage, program code documentation, development project accessibility, or a task assignment for a developer of the development project.",9,claim 8,0,A
10606739,11,"11. The method of claim 8 , further comprising: performing an initial assessment of the program code of the development project to identify an open source portion of the program code of the development project; determining a stored script relating to testing the open source portion; and including the stored script in the set of scripts to test the open source portion.",10,claim 8,0,A
10606739,12,"12. The method of claim 8 , further comprising: performing an initial assessment of the program code of the development project to identify a portion of the program code of the development project that is used in another development project, the other development project being associated with a stored script to test the portion of the program code of the development project; and including the stored script in the set of scripts to test the portion of the program code of the development project.",11,claim 8,0,A
10606739,13,"13. The method of claim 8 , further comprising: determining a portion of program code of another development project corresponding to a portion of the program code of the development project; determining documentation for the portion of the program code of the other development project; and including the documentation for the portion of the program code of the other development project in the development project to document the portion of the program code of the development project; and where providing the information associated with the set of recommendations comprises: providing the information associated with the set of recommendations based on including the documentation for the portion of the program code of the other development project in the development project.",12,claim 8,0,A
10606739,14,"14. A non-transitory computer-readable medium storing instructions, the instructions comprising: one or more instructions that, when executed by one or more processors, cause the one or more processors to: receive information identifying a development project; configure a set of scripts to assess program code of the development project, the set of scripts including; a first script to detect an execution type of error; a second script to detect a non-execution type of error; generate an artifact that includes one or more scripts of the set of scripts; determine to execute the one or more scripts to perform a project assessment of the development project; communicate with a client device to monitor the development project and to periodically execute the artifact that includes the one or more scripts to perform the project assessment of the development project; receive, from the client device, information identifying a result of the project assessment of the development project based on the client device executing the artifact that includes the one or more scripts; generate a user interface including the information identifying the result of the project assessment of the development project, the result of the project assessment of the development project including information associated with detecting an execution type of error or information associated with detecting a non-execution type of error; and communicate with the client device to provide the user interface for displaying the result of the project assessment of the development project via the client device.",13,,0,A
10606739,15,"15. The non-transitory computer-readable medium of claim 14 , where the one or more instructions, when executed by the one or more processors, further cause the one or more processors to: determine, based on the information associated with detecting the non-execution type of error, whether a set of accessibility standards is satisfied by the development project; and where the one or more instructions, that cause the one or more processors to generate the user interface, cause the one or more processors to: include, in the user interface, an indication of whether the set of accessibility standards is satisfied by the development project.",14,claim 14,0,A
10606739,16,"16. The non-transitory computer-readable medium of claim 14 , where the one or more instructions, when executed by the one or more processors, further cause the one or more processors to: modify a script, of the set of scripts, to configure the script based on the development project.",15,claim 14,0,A
10606739,17,"17. The non-transitory computer-readable medium of claim 14 , where the one or more instructions, that cause the one or more processors, further cause the one or more processors to: identify another development project similar to the development project; determine one or more scripts associated with the other development project; and select the one or more scripts associated with the other development project for the development project; and where the one or more instructions, that cause the one or more processors to configure the set of scripts, cause the one or more processors to: configure the one or more scripts associated with the other development project.",16,claim 14,0,A
10606739,18,"18. The non-transitory computer-readable medium of claim 14 , where the one or more instructions, when executed by the one or more processors, further cause the one or more processors to: generate a test suite that includes the one or more scripts; provide the test suite to the client device; and cause the client device to execute the test suite to execute the one or more scripts.",17,claim 14,0,A
10606739,19,"19. The non-transitory computer-readable medium of claim 14 , where the one or more instructions, when executed by the one or more processors, further cause the one or more processors to: process, using a machine learning technique, first data relating to the result of the project assessment of the development project and second data relating to results of executing other sets of scripts on other development projects; determine, based on processing the first data and the second data, a set of recommendations relating to the development project; and where the one or more instructions, that cause the one or more processors to generate the user interface, cause the one or more processors to: include the set of recommendations in the user interface.",18,claim 14,0,A
10606739,20,"20. The non-transitory computer-readable medium of claim 14 , where the non-execution type of error includes an error associated with an accessibility requirement for text-to-speech functionality.",19,claim 14,0,A
10606740,1,"1. A system comprising: a processor comprising a plurality of compute units; a control unit; and a memory subsystem; wherein the processor is configured to: launch a plurality of threads on the plurality of compute units, wherein each thread generates memory write requests targeting a memory location in the memory subsystem, each write request specifying a buffer identifier without specifying a target memory address; convey the memory write requests to the control unit; wherein the control unit is configured to: receive the memory write requests which do not specify target memory addresses; determine a memory starting address that corresponds to the buffer identifier; and generate target memory addresses for the memory write requests based at least in part on the memory starting address, wherein the target memory addresses reference locations in the memory subsystem.",0,,1,A
10606740,2,"2. The system as recited in claim 1 , wherein the control unit is configured to increment a target memory address after generating the target memory address for a given memory request.",1,claim 1,0,A
10606740,3,"3. The system as recited in claim 1 , wherein the control unit is located in a memory controller.",2,claim 1,0,A
10606740,4,"4. The system as recited in claim 1 , wherein the control unit is located in a cache.",3,claim 1,0,A
10606740,5,"5. The system as recited in claim 1 , wherein each write request comprises coordinates of one or more rasterized pixels.",4,claim 1,0,A
10606740,6,"6. The system as recited in claim 5 , wherein the control unit is configured to interleave write requests from the plurality of threads into a single output buffer stored in the memory subsystem.",5,claim 5,0,A
10606740,7,"7. The system as recited in claim 1 , wherein the control unit is configured to store an indication of a size of a single output buffer utilized by the write requests when the plurality of threads have completed execution.",6,claim 1,0,A
10606740,8,"8. A method comprising: launching a plurality of threads on a plurality of compute units, wherein each thread generates memory write requests targeting a memory location in a memory subsystem, each write request specifying a buffer identifier without specifying target memory addresses; conveying memory write requests to a control unit; receiving, at the control unit, the plurality of memory write requests which do not specify a target memory address; and determining, by the control unit, a memory starting address that corresponds to the buffer identifier; and generating, by the control unit, target memory addresses for the plurality of memory write requests based at least in part on the memory starting address.",7,,0,A
10606740,9,"9. The method as recited in claim 8 , further comprising incrementing, by the control unit, a target memory address after generating the target memory address for a given memory request.",8,claim 8,0,A
10606740,10,"10. The method as recited in claim 8 , wherein the control unit is located in a memory controller.",9,claim 8,0,A
10606740,11,"11. The method as recited in claim 8 , wherein the control unit is located in a cache.",10,claim 8,0,A
10606740,12,"12. The method as recited in claim 8 , wherein the plurality of memory requests are write requests, wherein each write request comprises coordinates of one or more rasterized pixels.",11,claim 8,0,A
10606740,13,"13. The method as recited in claim 12 , further comprising interleaving write requests from the plurality of threads into a single output buffer stored in the memory subsystem.",12,claim 12,0,A
10606740,14,"14. The method as recited in claim 8 , further comprising storing an indication of a size of a single output buffer utilized by the write requests when the plurality of threads have completed execution.",13,claim 8,0,A
10606740,15,"15. An apparatus comprising: a control unit; and a memory subsystem; wherein the control unit is configured to: receive memory write requests targeting a memory location in a memory subsystem, each write request specifying a buffer identifier without including a target memory address; and determine a memory starting address that corresponds to the buffer identifier; and generate target memory addresses for the memory write requests based at least in part on the memory starting address, wherein the target memory addresses reference locations in the memory subsystem.",14,,0,A
10606740,16,"16. The apparatus as recited in claim 15 , wherein the control unit is configured to increment a target memory address after generating the target memory address for a given memory request.",15,claim 15,0,A
10606740,17,"17. The apparatus as recited in claim 15 , wherein the control unit is located in a memory controller.",16,claim 15,0,A
10606740,18,"18. The apparatus as recited in claim 15 , wherein the control unit is located in a cache.",17,claim 15,0,A
10606740,19,"19. The apparatus as recited in claim 15 , wherein the plurality of memory requests are write requests, wherein each write request comprises coordinates of one or more rasterized pixels.",18,claim 15,0,A
10606740,20,"20. The apparatus as recited in claim 19 , wherein the control unit is configured to interleave write requests from the plurality of threads into a single output buffer stored in the memory subsystem.",19,claim 19,0,A
10606741,1,"1. A process performed by a computing device for deallocating blocks of memory, comprising: receiving a request to deallocate a previously allocated block of memory of (x) unit size; determining whether a binary buddy block is free; starting with a last power of 2 units block of memory released, merging the last power of 2 units block of memory with the binary buddy block to form a merged power of 2 units block of memory when the binary buddy block is free and has the same size as the released power of 2 units block of memory, and not merging an adjacent binary buddy block with the last power of 2 units block of memory in response to the binary buddy block being not free or having size not equal to that of the last power of 2 units block of memory; associating a max size with each merged power of 2 units block of memory; adjusting a maximum unit size value of the binary buddy block when it is not merged with the last power of 2 units block of memory and the address of the binary buddy block is greater than the address of the last power of 2 units block of memory; and successively releasing decreasing power of 2 units blocks of memory from the previously allocated block of memory until the entire previously allocated block has been released.",0,,1,A
