,username,followers,following,work_raw,education_raw
81,@daxauto42b,1,3,,
82,@grenade,7,8,,
83,@jayphen,13,10,"Web Dev, Software Dev, UI/UX Design",High School
84,@debbiec,13,14,"Education, Creative, Journalism, Blogging, Marketing",
85,@ryantheinventor,3,9,,
86,@sauravarya,12,8,Startup Founder,
87,@leon,24,9,Startup Founder,
88,@malcolm,5,5,,
89,@moraveklukas,1,10,"Web Dev, UI/UX Design, Startup Founder, Product Manager, Data, Marketing, Sales, Ecommerce, SaaS",Master's Degree
90,@codam,23,16,Startup Founder,
91,@juanjoseruescas,1,3,,
92,@davidfrahm,10,8,Startup Founder,
93,@stefanschmidt,0,2,,
94,@dral,5,6,,
95,@jnpkr,3,8,"Web Dev, Marketing",Bachelor's Degree
96,@bobbyvenice,22,27,"Startup Founder, Finance, Ecommerce, SaaS",Bachelor's Degree
97,@sprad,4,1,,
98,@d_btlr,6,8,,
99,@alexeymk,47,38,,
100,@kevinflo,6,10,"Web Dev, Software Dev","High School, Bachelor's Degree"
101,@alexis_ouellet,1,2,Software Dev,
102,@rockyrohde,2,11,"Education, Community",Master's Degree
103,@valeria,0,1,,
104,@olivierthms,21,25,"Startup Founder, Marketing",
105,@ndrozd,4,7,,
106,@cagrisarigoz,13,25,,
107,@mxrcelus,2,4,,
108,@borowis,2,2,,
109,@michaltakac,7,11,"VR Dev, Crypto",
110,@mattgelgota,14,10,"Marketing, Ecommerce",Master's Degree
111,@cbuchler,22,36,,
112,@fmazzoli89,1,7,Product Manager,
113,@cjackson27,2,4,Software Dev,"High School, Bachelor's Degree"
114,@larry_oz,2,1,Startup Founder,
115,@stevenirby,4,7,,
116,@kytwb,76,320,Crypto,
117,@kamil_dziedzic,1,3,,
118,@andreystepanov,2,4,,
119,@jerbersoft,1,2,,
120,@nilsonivano,2,3,,
121,@matejchrenko,2,4,,
122,@krisdeleon,7,7,"Startup Founder, Marketing",
123,@emorej,1,1,,
124,@mrraylo,4,5,UI/UX Design,
125,@robncampbell,2,5,Startup Founder,
126,@joelambertact,0,1,,
127,@rhalff,5,14,,
128,@luwiton,5,10,"Software Dev, Startup Founder, Crypto, Product Manager, Law, Blogging",Bachelor's Degree
129,@sailorcheon,9,6,Community,
130,@bergerish,7,11,Startup Founder,
131,@davidorban,15,6,,
132,@iain_bryson,1,3,,
133,@jubsandreatta,0,1,,
134,@jasprj,2,3,,
135,@kaaist,18,13,"Startup Founder, Education",
136,@pieter,2,4,Startup Founder,
137,@dinges_sascha,1,1,,
138,@thomasaull,5,5,,
139,@chrispreynolds,13,9,,
140,@stijnbe,12,15,Software Dev,
141,@yogodoshi,7,4,,
142,@pumpk111n,0,1,,
143,@99ff00,0,1,,
144,@jamescrowley,8,13,"Web Dev, Software Dev, Startup Founder, Finance, Ecommerce, SaaS",Bachelor's Degree
145,@justinarenstein,5,4,"Startup Founder, Journalism",
146,@mattmonihan,6,13,Startup Founder,
147,@iamfledge,17,27,"Software Dev, Startup Founder, Finance",Master's Degree
148,@lvankeer,1,2,,
149,@srajan821,5,16,,
150,@elirang,2,9,Mobile Dev,Bachelor's Degree
151,@braddwyer,15,23,,
152,@dbmikus,0,1,,
153,@cynthia,22,21,,
154,@osandiux,4,3,Startup Founder,
155,@jeddy,3,2,,
156,@marsty5,14,11,Startup Founder,
157,@izzydoesizzy,56,62,Community,
158,@denys,0,1,,
159,@serialblogamist,4,1,Blogging,
160,@bartlecki,6,6,,
161,@bilalbudhani,14,33,"Web Dev, Software Dev, Mobile Dev, UI/UX Design, Startup Founder, Product Manager, Blogging, SaaS",Bachelor's Degree
162,@illyism,24,14,"Web Dev, Software Dev, UI/UX Design, Startup Founder, Creative, Community, SaaS","High School, Bachelor's Degree"
163,@julianx,20,22,"Web Dev, UI/UX Design, Startup Founder, Marketing",Master's Degree
164,@booombox2000,0,1,,
165,@clemensvienna,1,8,,
166,@ahmayou,5,8,Product Manager,
167,@smcabrera,10,6,,
168,@camassey,7,6,Community,
169,@rubyet85,11,10,,
170,@beeman,19,15,"Web Dev, Software Dev, Mobile Dev, Startup Founder, Crypto, Education, Coach",Bachelor's Degree
171,@luisplz,1,2,,
172,@cjroth,22,8,,
173,@justeos,14,17,"Web Dev, Mobile Dev",Master's Degree
174,@liebergabor,2,2,"UI/UX Design, Startup Founder",
175,@ezequielmass,6,15,,
176,@herzflimmern,21,22,,
177,@miguelprieto,3,2,,
178,@jonchintanaroad,0,1,,
179,@peteranderson83,4,5,,
180,@alanbezanson,0,1,,
181,@anahenneberke,22,121,,
182,@dot_com,0,4,Startup Founder,
183,@ioana,1,1,,
184,@jblemee,4,4,Startup Founder,
185,@con10to,19,34,Startup Founder,
186,@mirabangel,3,1,,
187,@gise11e,16,14,,
188,@thisiskenta,0,1,,
189,@babsmiles_,0,2,,
190,@ivan_brkljac,3,3,,
191,@cristymx,2,9,,
192,@juliendevoir,14,16,Marketing,
193,@joseferrer,20,40,,
194,@damiendutoit,5,5,"Web Dev, UI/UX Design, Creative",
195,@timmcgrath,10,12,,
196,@camille,2,3,,
197,@tarynabb,1,1,,
198,@darcythomas,2,2,,
199,@daniele,3,2,,
200,@tripscout,2,3,Startup Founder,
201,@kylewailin,2,5,,
202,@miguelrore,1,1,,
203,@yangwao,12,15,,
204,@jakubtomanik,1,1,Mobile Dev,
205,@bzamecnik,4,7,Data,
206,@agermanidis,5,3,,
207,@timnieradzik,5,9,Startup Founder,
208,@jmshome,1,1,,
209,@ninoskopac,10,10,"Web Dev, Software Dev, Startup Founder, SaaS",High School
210,@danielzehe,6,4,,
211,@codino,43,130,Community,
212,@benn0r,2,2,,
213,@alexnomad,0,2,,
214,@fredfortier,2,1,,
215,@charlesdoole,4,6,,
216,@slimastomas,8,5,,
217,@alxsworld,3,4,Startup Founder,
218,@lonnylot,3,7,"Web Dev, Software Dev, Startup Founder, Crypto, Product Manager, SaaS",High School
219,@dhunnapotha,5,25,,
220,@satelliteeyes,102,69,"Web Dev, UI/UX Design, Startup Founder, Creative",Bachelor's Degree
221,@garrettkocher,0,3,,
222,@kethle,10,16,,
223,@dschnurr,2,3,,
224,@brucem80,6,10,Architecture,Master's Degree
225,@whosbacon,26,27,"Startup Founder, Data",
226,@colleran,21,16,Startup Founder,
227,@dengorbachev,4,3,,
228,@davisonio,17,33,"Software Dev, Finance, Crypto, Education, Fitness, Marketing, Ecommerce, SaaS","High School, Bachelor's Degree"
229,@flaper87,5,3,,
230,@chmarti4,1,4,,
231,@vr10003,0,2,,Bachelor's Degree
232,@greenwell,7,7,Mobile Dev,
233,@dylanblanchard,7,3,UI/UX Design,
234,@j0hnlucas,11,15,"Startup Founder, Product Manager, Community",
235,@jaemoon,1,2,,
236,@modkaffes,7,13,UI/UX Design,
237,@theauravier,10,13,,
238,@taavikalvi,6,10,Data,
239,@alxmhe,4,14,,
240,@johnreynolds,5,2,Software Dev,
241,@christophemilet,8,6,,
242,@johana,5,6,,
243,@lingalooo,1,2,,
244,@jflaflamme,10,11,,
245,@jpelker,3,6,Marketing,
246,@kimberleycook,24,8,,
247,@boettges,3,6,,
248,@bg26892,13,11,,
249,@jonsunandco,23,19,Marketing,
250,@seandisesa,3,3,,
251,@josephrule,6,6,,
252,@elevy525,2,3,Startup Founder,
253,@wvega,3,10,,
254,@tobythecox,10,25,,
255,@andyfielding,3,4,,
256,@hjbarraza,13,30,,
257,@goshakkk,13,24,Software Dev,
258,@msurocks99,9,20,Data,
259,@nealbozeman,2,5,"Software Dev, Startup Founder",
260,@chmanie,8,7,Startup Founder,
261,@imdigitalnomad,0,2,,
262,@brz0,8,2,,
263,@quintinjadam,8,19,"Web Dev, Software Dev, Ecommerce, SaaS",
264,@magicwan,2,2,,
265,@nunoarruda,21,44,,
266,@nomadsalsero,3,2,Marketing,
267,@wilhelmreich,3,2,,
268,@derralle,3,4,Education,
269,@olzkk,3,7,,
270,@zoxel,1,2,,
271,@clubturps,4,7,Startup Founder,
272,@matousvins,6,4,,
273,@tpaktop,8,4,Software Dev,
274,@joshpeck,1,1,Finance,
275,@camposped,6,11,,
276,@conorwade,5,5,,
277,@etc,7,5,,
278,@alextondello,2,6,,
279,@alexandra0320,3,2,,
280,@deon,2,2,,
281,@patrick_nilsen,5,3,,
282,@cbrwizard,16,7,"Web Dev, Software Dev, Game Dev, Crypto, Creative, Blogging",Bachelor's Degree
283,@alexd,38,57,Startup Founder,
284,@justinmurphy,5,26,"Startup Founder, Blogging",
285,@giacomodangelo,8,5,,
286,@jevanspollard,4,3,Support,
287,@imnotjesus,7,6,,
288,@mahmoud_zalt,5,1,"Web Dev, Startup Founder",
289,@sa_cha,6,6,UI/UX Design,
290,@aphataeros,0,1,,
291,@ashukumar27,12,16,"Startup Founder, Data",
292,@vandofb,8,4,Startup Founder,
293,@tombonneau,3,4,,
294,@tomphillltd,1,1,,
295,@arcaballero,10,43,"Web Dev, Software Dev, UI/UX Design, Crypto, SaaS",Bachelor's Degree
296,@rickydazla,4,5,,
297,@rodcisal,7,10,,
298,@oneswrightmind,2,2,,Bachelor's Degree
299,@natasha_v,1,1,,
300,@mirjamdenneman,5,4,,
301,@martinbourqui,3,2,Data,
302,@lightnguyen184,1,2,,
303,@kirill,9,6,,
304,@johnbrett_,18,27,"Web Dev, Software Dev, Startup Founder, Crypto, Fitness, Sports","High School, Bachelor's Degree"
305,@jelmerdeboer,49,18,Blogging,
306,@jensherrndorff,2,1,,
307,@johnconnelly,6,13,"Software Dev, Finance",
308,@jamesshap,0,4,,
309,@gohomebase,15,50,"Startup Founder, Community",
310,@erviken,0,1,,
311,@elhornair,8,10,,
312,@czyzykowski,6,6,Web Dev,
313,@davidfchang,7,9,"Startup Founder, Product Manager",
314,@cs02lk1,7,14,Startup Founder,
315,@asimon1267,4,7,,
316,@timomolenhuis,7,7,,
317,@diminko,6,10,,
318,@zen,25,41,,
319,@yohan,26,58,,
320,@xnutsive,34,25,Product Manager,
321,@wojtek,6,6,Web Dev,Bachelor's Degree
322,@wolvegames,3,2,,
323,@willemroman,1,3,Startup Founder,
324,@wilco,12,16,"Startup Founder, Marketing",
325,@vlafiser,19,15,,
326,@vikey89,3,3,,
327,@vladkorzinin,1,6,,
328,@tx,1,10,,
329,@ucheng,2,4,,
330,@twymer,4,7,Software Dev,
331,@tmcgee,6,3,,
332,@tobin,9,11,,
333,@threadalist,6,11,,
334,@terminalpixel,13,8,Software Dev,
335,@thelucasmoore,10,32,,
336,@taylorgendron,6,7,,
337,@supirman,5,2,,
338,@stevenmdean,14,10,Startup Founder,
339,@sten,58,5,Startup Founder,
340,@spinx,1,1,Startup Founder,
341,@sivagao,3,10,,
342,@sejogacara,2,3,,
343,@sebastianj,7,6,"Web Dev, Startup Founder, Marketing",
344,@sash7790,3,3,,
345,@saskia,1,3,,
346,@royce,3,4,Startup Founder,
347,@rpish,57,11,"Startup Founder, Creative, Blogging, Community, Marketing, SaaS, Logistics",Bachelor's Degree
348,@rossleedham,6,3,"Data, Marketing",
349,@roks0n,24,36,,
350,@rauan,4,3,,
351,@quibax,1,2,,
352,@ptisunov,7,14,"Web Dev, Software Dev, Mobile Dev, Startup Founder, SaaS",
353,@photojosh,7,3,,
354,@petersuhm,29,23,Web Dev,
355,@philiprenich,6,5,Web Dev,
356,@peachananr,116,21,Startup Founder,
357,@pawel_nguyen,4,6,Startup Founder,
358,@paola,5,7,,
359,@pattycreates,8,7,,
360,@orsi,3,4,"Product Manager, Community",
361,@omfgchris,2,8,,
362,@nsbarr,8,6,,
363,@nicolasmlv,8,12,Startup Founder,
364,@nateliason,81,16,"Startup Founder, Marketing",
365,@namtrok,11,11,Startup Founder,
366,@m_p_pfeiffer,19,12,,
367,@mwcol,2,6,,
368,@mrsergejl,5,6,Software Dev,
369,@msarlitt,2,4,"Startup Founder, Marketing",
370,@mrmading,10,28,"Software Dev, Startup Founder",
371,@mohittater,4,7,Startup Founder,
372,@moltar,5,21,Startup Founder,
373,@mistalaba,7,5,,
374,@micha,27,58,"Web Dev, Software Dev, Mobile Dev, UI/UX Design, Startup Founder, Creative, Data, Community",
375,@meisterbrendan,3,3,,
376,@meiyi_cheng,5,3,,
377,@mattdickinson,4,5,"Startup Founder, Marketing",
378,@matthannon,2,3,,
379,@havesomegante,11,18,Software Dev,
380,@matekovacs,16,31,Mobile Dev,
381,@marina_srksn,2,6,Startup Founder,
382,@marchenkomark,6,28,,
383,@dinomarkio,1,2,,
384,@machycek,14,37,,
385,@lukekellydesign,9,15,,
386,@lohawk,17,21,Blogging,
387,@logan,2,1,,
388,@leifg,12,9,,
389,@leannebeesley,19,18,Startup Founder,
390,@lailavon,57,30,,
391,@itinerantdev,16,15,,
392,@kylomclaren,1,4,,
393,@kossnocorp,24,29,,
394,@kobekoto,2,4,,
395,@killthekitten,3,5,,
396,@kevinohashi,13,7,Startup Founder,
397,@kaurkirikall,3,4,Crypto,
398,@kallemoen,1,4,Marketing,
399,@kadrian,3,4,UI/UX Design,
400,@julienma,30,10,,
401,@julienhenzelin,4,6,"Software Dev, Coach",
402,@jro7,1,11,,
403,@john,393,24,"Software Dev, UI/UX Design, Startup Founder, Product Manager, Creative, Journalism, Blogging, Marketing",
404,@jimwyuan,7,7,"Startup Founder, Marketing",
405,@jinhoson,0,2,,
406,@jimmysinner,5,7,,
407,@jimcanto,12,27,,
408,@jennjenn,39,19,,
409,@jeremygeros,8,5,,
410,@jeffreytrull,7,4,"Software Dev, Finance, Journalism, Blogging, Marketing",Master's Degree
411,@jdbb,1,13,,
412,@jdcastle4,1,3,,
413,@jberthom,4,4,Startup Founder,
414,@jaybroni,4,7,,
415,@jb,12,30,"Web Dev, Software Dev, Mobile Dev, UI/UX Design, Startup Founder, Crypto, Product Manager, Data, SaaS",High School
416,@javorszky,32,19,,
417,@jarradhope,25,5,Startup Founder,
418,@heyellieday,26,16,,
419,@hellotiago,14,16,"Web Dev, UI/UX Design, Fitness, SaaS",
420,@heatherashannon,4,4,,
421,@halfdan,2,3,,
422,@gonsanchezs,13,42,,
423,@gustav,21,72,,
424,@gokonrad,70,31,Startup Founder,
425,@francescogior,8,11,"Web Dev, Startup Founder",
426,@fuzzy,0,2,,
427,@finnious,9,21,,
428,@emil,1,3,,
429,@efuhj,1,3,,
430,@eddgysousa,9,10,"Web Dev, Software Dev",High School
431,@dully,2,3,,
432,@drewmeyers,27,39,"Startup Founder, Finance",
433,@doorenio,7,11,,
434,@dmftaras,1,9,"Web Dev, Finance, Crypto, Product Manager, Ecommerce, SaaS, Support",
435,@diegomiguel,0,1,,
436,@diniska,2,3,,
437,@dgwolff,43,36,Web Dev,
438,@diegoluisr,7,13,Startup Founder,
439,@denizpolatde,5,19,,
440,@danny,10,7,"Web Dev, Creative, Ecommerce",Bachelor's Degree
441,@cybergorille,2,2,Startup Founder,
442,@craig8803,3,1,,
443,@colinsurprenant,6,3,,
444,@codevipe,1,3,Data,
445,@chrisrdodd,94,46,"Web Dev, Creative, Blogging",
446,@callum,1,4,,
447,@bsingbeil,0,1,,
448,@bradzickafoose,6,5,,
449,@val,14,18,,
450,@becomenomad,31,16,Startup Founder,
451,@bastienpetit,22,11,,
452,@bartligthart,15,25,,
453,@augustevrymonth,28,21,Startup Founder,
454,@askeertmann,12,15,"Web Dev, UI/UX Design",
455,@matt_anis,1,3,Startup Founder,
456,@andreaskeller,8,42,Web Dev,
457,@amy,135,75,Blogging,
458,@amareshray,8,10,,
459,@allancaeg,7,11,UI/UX Design,
460,@alexandros,1,2,"Web Dev, Data",
461,@alexbrasetvik,3,4,Startup Founder,
462,@alchorro,14,16,Startup Founder,
463,@adrianchinghc,3,19,"Web Dev, Software Dev, Mobile Dev, Startup Founder, SaaS",Bachelor's Degree
464,@adz,33,19,,
465,@adrianavecc,73,45,"UI/UX Design, VR Dev, Creative",
466,@mogosselin,16,12,Web Dev,
467,@indi,25,26,,
468,@jayzus,126,23,,
469,@jodroc,8,20,,
470,@parasight,81,30,Web Dev,
471,@calum,10,13,"Startup Founder, Community",
472,@nickdanforth,49,22,,
473,@paulrose,4,7,"Web Dev, Software Dev, Mobile Dev, UI/UX Design, Startup Founder, Data, Community, Marketing, Ecommerce, SaaS, Support","High School, Bachelor's Degree"
474,@kaushal,14,17,"UI/UX Design, Creative, Blogging",
475,@kocsmy,37,40,"UI/UX Design, Startup Founder",
476,@jonnym1ller,37,24,"Startup Founder, Education, Creative, Blogging, Coach, Marketing",Bachelor's Degree
477,@coffeejunk,14,32,,
478,@primoz,2,5,Web Dev,
479,@thedesignnomad,124,15,"UI/UX Design, Startup Founder",
480,@pedrombafonso,4,6,,
481,@sendar,6,16,,
482,@brody,11,28,Startup Founder,
483,@devar,2,4,,
484,@theunixbeard,4,16,"Web Dev, Startup Founder, SaaS",Bachelor's Degree
485,@filipeteles,0,4,,
486,@haskellandchill,54,86,,
487,@davidnagy,21,40,,
488,@darren,99,24,"UI/UX Design, Startup Founder",
489,@johndbritton,38,14,Education,
490,@magalhini,12,14,Web Dev,
491,@jessehanley,195,50,"Startup Founder, Marketing, Sales, Ecommerce",
492,@thebluehouse_io,22,17,Startup Founder,
493,@nickyborry,32,32,"Community, Marketing",
494,@joelgascoigne,503,123,Startup Founder,
495,@damirkotoric,10,11,UI/UX Design,
496,@voskovek,8,5,,Bachelor's Degree
497,@jeffblettner,9,19,,
498,@vconde,2,6,,
499,@x3nome,24,14,"Web Dev, UI/UX Design, Startup Founder, Blogging",
500,@isaak,7,10,"Startup Founder, Community",
501,@billey_b,5,10,"Mobile Dev, Crypto",Master's Degree
502,@soundseeka,0,6,,
503,@scottyallen,22,11,,
504,@gijsheerkens,13,16,"Startup Founder, Crypto, Product Manager, Blogging, Data, Fitness, Marketing, Ecommerce, SaaS, Support",Bachelor's Degree
505,@simplgy,8,27,,
506,@karlbecker_com,5,4,Startup Founder,
507,@brrrger,8,11,,
508,@mayel2b,13,19,Startup Founder,
509,@jitowix,6,22,,
510,@pedronunes,8,30,,
511,@joseclimaco,4,14,,
512,@mathijs,3,12,"Web Dev, Software Dev","High School, Bachelor's Degree, Master's Degree"
513,@10kjuan,18,13,"Education, Coach",Bachelor's Degree
514,@pezmc,3,4,"Web Dev, Startup Founder",
515,@quinnzeda,20,22,Startup Founder,
516,@ibobriakov,0,6,"Startup Founder, Data",
517,@rxs,16,15,"Startup Founder, Marketing",
518,@nomadbound,12,11,"Startup Founder, Marketing",
519,@cesarf,3,10,,
520,@hmigneron,3,3,Web Dev,
521,@neilsteel,5,5,,
522,@adrienjs,39,19,"Startup Founder, Blogging",
523,@davidlorincz,11,4,,
524,@stevenp,4,4,Mobile Dev,
525,@andregussekloo,37,41,,
526,@eduardocruz,2,3,Startup Founder,
527,@kangasjuha,3,3,Game Dev,
528,@kaylibarth,32,25,,
529,@gawin,17,33,"Web Dev, Software Dev, Mobile Dev, UI/UX Design, Startup Founder, Finance, Product Manager, Education, Creative, Coach, Data, Fitness, Community, Ecommerce, SaaS, Support, Geo, Sports, Architecture","High School, Bachelor's Degree, Master's Degree"
530,@codepreneur,10,13,,
531,@klavs,2,10,,
532,@tapsmurove,2,5,,
533,@danielrelich,7,6,Startup Founder,
534,@rizale,13,12,"UI/UX Design, Startup Founder",
535,@eduardoborges,18,28,"Startup Founder, Finance, Product Manager, Education, Blogging, Coach, Data, Fitness, Community, Marketing, Sales, Ecommerce, Sports, Hospitality","High School, Bachelor's Degree, Master's Degree"
536,@ferhatdegirmenc,0,1,Software Dev,
537,@sam,1,5,,
538,@ailaastrs,4,3,,
539,@marcoschwartz,5,2,"Startup Founder, Blogging",
540,@orestzub,4,3,,
541,@gohemisphered,9,12,,
542,@gigigriffis,60,19,Blogging,
543,@tolicious,4,3,,
544,@tylertringas,100,26,Startup Founder,
545,@sebastianhub,19,28,,
546,@wfxyz,13,15,"Web Dev, SaaS",Bachelor's Degree
547,@billyb,17,23,,
548,@attila,5,5,,
549,@keewonma,9,10,,
550,@keybrownhill,1,1,,
551,@replay,31,14,,
552,@franzolka,1,1,,
553,@hyeon_ss,2,2,,
554,@alphonse86,8,17,Web Dev,
555,@lesly,7,6,Startup Founder,
556,@tommoor,80,61,Startup Founder,
557,@vladgsk,3,2,"Data, Marketing, Sales",
558,@josh_koch,0,2,Politics,
559,@unfulvio,17,13,,
560,@leisoes,3,8,,
561,@alexbegey,3,9,Startup Founder,
562,@christianoliveira,17,27,"Blogging, Marketing",Bachelor's Degree
563,@sheplaysdafield,0,1,,
564,@logankoester,4,5,,
565,@silveruby,2,1,UI/UX Design,
566,@piazza_chris,8,2,"Mobile Dev, Startup Founder",
567,@matevaltr,2,3,"Software Dev, Startup Founder",
568,@chilladx,7,6,"Software Dev, Startup Founder",
569,@mrgusev,1,3,Web Dev,
570,@haxpor,20,20,,
571,@mikerogers0,43,55,"Web Dev, Software Dev, Startup Founder, Data, Community, SaaS, Geo",Bachelor's Degree
572,@mariasokolova,18,14,"Creative, Blogging, Support",
573,@lknix,10,5,Data,
574,@sunny_cloud,10,10,,
575,@kiasaki,3,7,"Web Dev, Startup Founder",
576,@ibidombi,1,2,,
577,@jruz,9,3,,
578,@norydev,8,9,,
579,@phil1337,1,2,,
580,@wolffan,6,8,,
581,@alldreamedup,1,2,Blogging,
582,@anafl,10,11,,
583,@alemacgo,19,16,"Crypto, Education",
584,@bryceholcomb1,2,3,,
585,@anywhereness,6,2,"Software Dev, Mobile Dev, UI/UX Design, Game Dev, VR Dev, Politics, Creative, Journalism, Fitness, Community, Geo, Logistics, Architecture",
586,@trevorgerhardt,39,20,"Web Dev, Software Dev, UI/UX Design, Geo, Logistics",Bachelor's Degree
587,@liangtfm,7,8,,
588,@scottbrills,52,268,"Web Dev, Startup Founder, Creative, Geo, Hospitality",Bachelor's Degree
589,@shervinater,11,15,,
590,@tfe_travel,2,2,,
591,@flaviomandriola,4,2,,
592,@mario,1,7,,
593,@pixelfiesta,6,17,"UI/UX Design, Startup Founder, Marketing",
594,@adrianmcli,11,12,,
595,@regieph,8,10,,
596,@billiamfrazier,14,19,Startup Founder,
597,@draladancer,1,1,,
598,@florianfeibel,0,3,"Data, Marketing",
599,@travelingtoad,14,18,"Finance, Creative, Marketing",High School
600,@nilaatwork,5,7,,
601,@purplespatula,7,7,Education,
602,@karltryggvason,3,8,,
603,@godfoca,22,20,"Web Dev, Software Dev",
604,@jorisrenaud,11,32,"Startup Founder, Education",
605,@tiojoca,3,4,"Web Dev, Software Dev, Mobile Dev, UI/UX Design",Bachelor's Degree
606,@yoobato,1,1,,
607,@allilevine,15,15,,
608,@philhudson91,19,12,,
609,@zackllnyoung,60,92,"Startup Founder, Blogging, Coach, Marketing","High School, Bachelor's Degree, Master's Degree"
610,@vgdub,6,9,Startup Founder,
611,@jrcconstela,1,2,Startup Founder,
612,@christianreyok,7,15,Software Dev,
613,@gianlucaorlandi,8,4,Startup Founder,High School
614,@rabourn,10,11,UI/UX Design,
615,@vernaillen,28,61,,
616,@andrewkennedy,2,5,,
617,@samebb86,1,1,,
618,@espenmalling,4,8,Marketing,
619,@dkhaburdzania,5,10,Startup Founder,
620,@nic221,2,5,UI/UX Design,
621,@rafaelfe,8,8,,
622,@moose189,11,11,,
623,@gareth,11,39,,
624,@fbwlm,10,11,,
625,@andrewlt,3,7,"Startup Founder, Crypto, Fitness, Sports",
626,@jrgarou,0,2,,
627,@kylefromohiocom,1,2,Web Dev,
628,@thierrymeier_,11,9,,
629,@nomadpauline,38,24,"Fitness, Support",Bachelor's Degree
630,@clare_3000,1,1,,
631,@nillotrejos,0,1,,
632,@littleshiva,3,3,,
633,@seifsallam,8,15,"Web Dev, UI/UX Design, Startup Founder",
634,@maiahariton,14,40,,
635,@timfernando,3,3,"Software Dev, Startup Founder",
636,@nickawk,3,8,,
637,@jprajani,3,2,,
638,@tinodeb,3,8,,
639,@xunadia,17,26,,
640,@axlos,1,1,Software Dev,
641,@branko,1,1,,
642,@rokeeffe,12,12,Web Dev,
643,@dan335,1,8,Creative,
644,@andreobrown,1,3,,
