alpha_2,region,sub_region
NO,Europe,Northern Europe
OM,Asia,Western Asia
PK,Asia,Southern Asia
PW,Oceania,Micronesia
PS,Asia,Western Asia
PA,Americas,Latin America and the Caribbean
PG,Oceania,Melanesia
PY,Americas,Latin America and the Caribbean
PE,Americas,Latin America and the Caribbean
PH,Asia,South-eastern Asia
PN,Oceania,Polynesia
PL,Europe,Eastern Europe
PT,Europe,Southern Europe
PR,Americas,Latin America and the Caribbean
QA,Asia,Western Asia
RE,Africa,Sub-Saharan Africa
RO,Europe,Eastern Europe
RU,Europe,Eastern Europe
RW,Africa,Sub-Saharan Africa
BL,Americas,Latin America and the Caribbean
SH,Africa,Sub-Saharan Africa
KN,Americas,Latin America and the Caribbean
LC,Americas,Latin America and the Caribbean
MF,Americas,Latin America and the Caribbean
PM,Americas,Northern America
VC,Americas,Latin America and the Caribbean
WS,Oceania,Polynesia
SM,Europe,Southern Europe
ST,Africa,Sub-Saharan Africa
SA,Asia,Western Asia
SN,Africa,Sub-Saharan Africa
RS,Europe,Southern Europe
SC,Africa,Sub-Saharan Africa
SL,Africa,Sub-Saharan Africa
SG,Asia,South-eastern Asia
SX,Americas,Latin America and the Caribbean
SK,Europe,Eastern Europe
SI,Europe,Southern Europe
SB,Oceania,Melanesia
SO,Africa,Sub-Saharan Africa
ZA,Africa,Sub-Saharan Africa
GS,Americas,Latin America and the Caribbean
SS,Africa,Sub-Saharan Africa
ES,Europe,Southern Europe
LK,Asia,Southern Asia
SD,Africa,Northern Africa
SR,Americas,Latin America and the Caribbean
SJ,Europe,Northern Europe
SE,Europe,Northern Europe
CH,Europe,Western Europe
SY,Asia,Western Asia
TW,Asia,Eastern Asia
TJ,Asia,Central Asia
TZ,Africa,Sub-Saharan Africa
TH,Asia,South-eastern Asia
TL,Asia,South-eastern Asia
TG,Africa,Sub-Saharan Africa
TK,Oceania,Polynesia
TO,Oceania,Polynesia
TT,Americas,Latin America and the Caribbean
TN,Africa,Northern Africa
TR,Asia,Western Asia
TM,Asia,Central Asia
TC,Americas,Latin America and the Caribbean
TV,Oceania,Polynesia
UG,Africa,Sub-Saharan Africa
UA,Europe,Eastern Europe
AE,Asia,Western Asia
GB,Europe,Northern Europe
US,Americas,Northern America
UM,Oceania,Micronesia
UY,Americas,Latin America and the Caribbean
UZ,Asia,Central Asia
VU,Oceania,Melanesia
VE,Americas,Latin America and the Caribbean
VN,Asia,South-eastern Asia
VG,Americas,Latin America and the Caribbean
VI,Americas,Latin America and the Caribbean
WF,Oceania,Polynesia
EH,Africa,Northern Africa
YE,Asia,Western Asia
ZM,Africa,Sub-Saharan Africa
ZW,Africa,Sub-Saharan Africa
